features,label
"Lozano-Ellis agrees to provide the following services to Day, Morrison and Vega. services are service1 service2, service3.",0
"Day, Morrison and Vega agrees to pay Lozano-Ellis the amount of $81254 for the services described above. Payment shall be made within 49 days of receiving an invoice from Lozano-Ellis.",1
This contract will commence on 2024-06-08 and will continue until 2024-03-27 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 49 days written notice to the other party. In the event of termination, Lozano-Ellis will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Washington.,5
Lozano-Ellis,6
"Day, Morrison and Vega",6
"Romero and Sons agrees to provide the following services to Wells, Waters and Sampson. services are service1 service2, service3.",0
"Wells, Waters and Sampson agrees to pay Romero and Sons the amount of $18569 for the services described above. Payment shall be made within 84 days of receiving an invoice from Romero and Sons.",1
This contract will commence on 2024-02-17 and will continue until 2024-04-18 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 84 days written notice to the other party. In the event of termination, Romero and Sons will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Idaho.,5
Romero and Sons,6
"Wells, Waters and Sampson",6
"Bowman Ltd agrees to provide the following services to Johnson-Estrada. services are service1 service2, service3.",0
Johnson-Estrada agrees to pay Bowman Ltd the amount of $60994 for the services described above. Payment shall be made within 70 days of receiving an invoice from Bowman Ltd.,1
This contract will commence on 2024-04-27 and will continue until 2024-04-12 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 70 days written notice to the other party. In the event of termination, Bowman Ltd will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Massachusetts.,5
Bowman Ltd,6
Johnson-Estrada,6
"Bernard and Sons agrees to provide the following services to Pitts Ltd. services are service1 service2, service3.",0
Pitts Ltd agrees to pay Bernard and Sons the amount of $79554 for the services described above. Payment shall be made within 80 days of receiving an invoice from Bernard and Sons.,1
This contract will commence on 2024-02-01 and will continue until 2024-04-11 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
